A-Z80 Timing Table	M_	T_	Function	valid	nextM	setM1	A:reg rd	A:reg wr	inc/dec	A:latch	D:reg rd	D:reg wr	Reg gate	SW2	SW1	DB pads	FLAGT	ALU	ALU bus	op2 latch	op1 latch	nibble	operation		SZ	XY	HF	PF	NF	CF	CF2		Special	Comments
#045H T11 AB:000 DB:21                  WR IORQ	3	3	fIOWrite														alu	<	res			H	ADD							*				
#046H T12 AB:000 DB:21                  WR IORQ	3	4	fIOWrite		1	BRZ					B		>					>s0				L	XOR											
#047H T13 AB:000 DB:--	4	1					PC		-	W																								
#048H T14 AB:000 DB:--	4	2						PC	-	R																								
#049H T15 AB:000 DB:--	4	3					PC		-	W																								
#050H T16 AB:000 DB:--	4	4						PC	-	R																								
#051H T17 AB:000 DB:--	4	5			1	1																												
#end																																		
																																		
// Jump Group																																		
																																		
#if pla[29] : jp nn			"4,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C3  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		1	1	WZ			W		W	<h	d	<	R																	NOT_PC!	
#end																																		
																																		
"#if pla[43] : jp cc,nn"			"4,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C2  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		1	1	WZ?			W		W?	<h	d	<	R																		Select WZ if condition is true
#end																																		
																																		
#if pla[47] : jr e			"4,3,5"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:18  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		1																													
#008H T8  AB:001 DB:--	3	1												d	<	R	alu	>s0		bus					*									"Reads ""e"" from the data latch"
#009H T9  AB:001 DB:--	3	2									PCl		>	d			alu	>s0			bus	L	ADD				*							
#010H T10 AB:001 DB:--	3	3										Z	<l	u			alu	<	res			H	ADD							*				
#011H T11 AB:001 DB:--	3	4									PCh		>				alu	>s0		0	bus	L	ADC				*						?SF_NEG	
#012H T12 AB:001 DB:--	3	5			1	1	WZ			W		W	<h				alu	<	res			H	ADC										"?SF_NEG, NOT_PC!"	
#end																																		
																																		
"#if pla[48] : jr ss,e"			"4,3,(5)"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:20  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																												CondShort	M1/T4 evaluates a condition: force short
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		1	SS																												
#008H T8  AB:001 DB:--	3	1												d	<	R	alu	>s0		bus					*									"Reads ""e"" from the data latch"
#009H T9  AB:001 DB:--	3	2									PCl		>	d			alu	>s0			bus	L	ADD				*							
#010H T10 AB:001 DB:--	3	3										Z	<l	u			alu	<	res			H	ADD							*				
#011H T11 AB:001 DB:--	3	4									PCh		>				alu	>s0		0	bus	L	ADC				*						?SF_NEG	
#012H T12 AB:001 DB:--	3	5			1	1	WZ			W		W	<h				alu	<	res			H	ADC										"?SF_NEG, NOT_PC!"	
#end																																		
																																		
#if pla[6] : jp hl			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:E9  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1	HL			W																							NOT_PC!	
#end																																		
																																		
#if pla[26] : djnz e			"5,3,(5)"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:10  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1							B		>	d			alu	>s0		0	bus	L	ADD				*						NEG_OP2	B=B-1
#005H T5  AB:000 DB:--	1	5			mr							B	<				alu	<	res			H	ADD		*								NEG_OP2	
#006H T6  AB:001 DB:--	2	1	fMRead				PC			W																								
#007H T7  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#008H T8  AB:001 DB:01          MREQ RD	2	3	fMRead		1	ZF																												
#009H T9  AB:001 DB:--	3	1												d	<	R	alu	>s0		bus					*									"Reads ""e"" from the data latch"
#010H T10 AB:001 DB:--	3	2									PCl		>	d			alu	>s0			bus	L	ADD				*							
#011H T11 AB:001 DB:--	3	3										Z	<l	u			alu	<	res			H	ADD							*				
#012H T12 AB:001 DB:--	3	4									PCh		>				alu	>s0		0	bus	L	ADC				*						?SF_NEG	
#013H T13 AB:001 DB:--	3	5			1	1	WZ			W		W	<h				alu	<	res			H	ADC										"?SF_NEG, NOT_PC!"	
#end																																		
																																		
// Call and Return Group																																		
																																		
#if pla[24] : call nn			"4,3,4,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:CD  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead									W	<h	d	<	R																		
#011H T11 AB:002 DB:--	3	4			mw		SP		-	W																								
#012H T12 AB:000 DB:--	4	1	fMWrite						-	P	PCh		>	u	>	W																		
#013H T13 AB:000 DB:00          MREQ	4	2	fMWrite					SP	-	R																								
#014H T14 AB:000 DB:00          MREQ    WR	4	3	fMWrite		mw		SP		-	W																								
#015H T15 AB:0FF DB:--	5	1	fMWrite						-	P	PCl		>	u	>	W																		
#016H T16 AB:0FF DB:03          MREQ	5	2	fMWrite					SP	-	R																								
#017H T17 AB:0FF DB:03          MREQ    WR	5	3	fMWrite		1	1	WZ			W																							NOT_PC!	
#end																																		
																																		
"#if pla[42] : call cc,nn"			"4,3,3/(4,3,4,3,3)"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C4  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		CC	CC						W?	<h	d	<	R																		Load W only if condition is true
#011H T11 AB:002 DB:--	3	4			mw		SP		-	W																								
#012H T12 AB:000 DB:--	4	1	fMWrite						-	P	PCh		>	u	>	W																		
#013H T13 AB:000 DB:00          MREQ	4	2	fMWrite					SP	-	R																								
#014H T14 AB:000 DB:00          MREQ    WR	4	3	fMWrite		mw		SP		-	W																								
#015H T15 AB:0FF DB:--	5	1	fMWrite						-	P	PCl		>	u	>	W																		
#016H T16 AB:0FF DB:03          MREQ	5	2	fMWrite					SP	-	R																								
#017H T17 AB:0FF DB:03          MREQ    WR	5	3	fMWrite		1	1	WZ			W																							NOT_PC!	
#end																																		
																																		
#if pla[35] : ret			"4,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C9  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:0FF DB:--	2	1	fMRead				SP			W																								
#006H T6  AB:0FF DB:01          MREQ RD	2	2	fMRead					SP	+	R																								
#007H T7  AB:0FF DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:000 DB:--	3	1	fMRead				SP			W																								
#009H T9  AB:000 DB:C9          MREQ RD	3	2	fMRead					SP	+	R																								
#010H T10 AB:000 DB:C9          MREQ RD	3	3	fMRead		1	1	WZ			W		W	<h	d	<	R																	NOT_PC!	
#end																																		
																																		
#if pla[45] : ret cc			"5/(5,3,3)"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C0  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1																														
#005H T5  AB:000 DB:--	1	5			mr	CC																												
#006H T6  AB:001 DB:--	2	1	fMRead				SP			W																								
#007H T7  AB:001 DB:01          MREQ RD	2	2	fMRead					SP	+	R																								
#008H T8  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#009H T9  AB:002 DB:--	3	1	fMRead				SP			W																								
#010H T10 AB:002 DB:02          MREQ RD	3	2	fMRead					SP	+	R																								
#011H T11 AB:002 DB:02          MREQ RD	3	3	fMRead		1	1	WZ			W		W	<h	d	<	R																	NOT_PC!	
#end																																		
																																		
#if pla[46] : reti/retn			"4,3,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:45  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch																															
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																												RETN	IFF1<=IFF2
#009H T5  AB:001 DB:--	2	1	fMRead				SP			W																								
#010H T6  AB:001 DB:45          MREQ RD	2	2	fMRead					SP	+	R																								
#011H T7  AB:001 DB:45          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#012H T8  AB:002 DB:--	3	1	fMRead				SP			W																								
#013H T9  AB:002 DB:01          MREQ RD	3	2	fMRead					SP	+	R																								
#014H T10 AB:002 DB:01          MREQ RD	3	3	fMRead		1	1	WZ			W		W	<h	d	<	R																	NOT_PC!	
#end																																		
																																		
#if pla[56] : rst p			"5,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C7  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch									WZ	<			R		<	op1		0												"MASK_543, RST_NMI, RST_INT"	RST instruction also executes on NMI and INT
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1																														
#005H T5  AB:000 DB:--	1	5			mw		SP		-	W				d	<	R		>s0			bus													Store im2 vector into the ALU op1
#006H T6  AB:000 DB:--	2	1	fMWrite						-	P	PCh		>h	u	>	W																		
#007H T7  AB:000 DB:00          MREQ	2	2	fMWrite					SP	-	R																								
#008H T8  AB:000 DB:00          MREQ    WR	2	3	fMWrite		mw		SP		-	W																								
#009H T9  AB:0FF DB:--	3	1	fMWrite						-	P	PCl		>l	u	>	W																		
#010H T10 AB:0FF DB:01          MREQ	3	2	fMWrite					SP	-	R																								
#011H T11 AB:0FF DB:01          MREQ    WR	3	3	fMWrite		INT	INT	WZ			W																							NOT_PC!	Value on the bus into ALU OP
// INTR IM2 continues here...																																		Extension for IM2 interrupt mode
#012H T12 AB:001 DB:--	4	1	fMRead				I*			W			<l	u				<	op1															
#013H T13 AB:001 DB:01          MREQ RD	4	2	fMRead					>	+	R			>l	d				>s0			bus													
#014H T14 AB:001 DB:01          MREQ RD	4	3	fMRead		mr							Z	<l	d	<	R																		
#015H T15 AB:002 DB:--	5	1	fMRead				I*			W			<l	u				<	op1															
#016H T16 AB:002 DB:02          MREQ RD	5	2	fMRead						+	R																								
#017H T17 AB:002 DB:02          MREQ RD	5	3	fMRead		1	1	WZ			W		W	<h	d	<	R																	NOT_PC!	
#end																																		
																																		
// CB-Table opcodes																																		
																																		
#if pla[49] : Every CB with IX/IY			"4,3,5,+"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:CB  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*			CB	
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead		mr																													
#012H T8  AB:003 DB:--	3	1	fMRead				PC			W																							WZ=IX+d	
#013H T9  AB:003 DB:00          MREQ RD	3	2	fMRead					PC	+	R																							WZ=IX+d	
#014H T10 AB:003 DB:00          MREQ RD	3	3	fMRead																														WZ=IX+d	Loads the opcode byte in parallel
#015H T11 AB:003 DB:--	3	4																															WZ=IX+d	
#016H T12 AB:003 DB:--	3	5			mr																												WZ=IX+d	
#017H T13 AB:000 DB:--	4	1														R		>bs		bus	bus												OpcodeToIR	Loads instruction register; starts the execute cycle
// Loading a new instruction immediately changes PLA wires and continues into the new effective instructions' M4/T1 cycle																																		
#end																																		
																																		
// Special Purposes PLA Entries																																		
																																		
#if pla[3] : IX/IY			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:DD  M1      MREQ RD	1	2	fMFetch																														IX_IY	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																											NO_INTS	"At last M/T, inhibit interrupts"
#end																																		
																																		
#if pla[44] : CB prefix			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:CB  M1      MREQ RD	1	2	fMFetch																														CB	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																											NO_INTS	"At last M/T, inhibit interrupts"
"#end Only set CB ff and clear ED, XX ff"																																		
																																		
#if pla[51] : ED prefix			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:ED  M1      MREQ RD	1	2	fMFetch																														ED	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																											NO_INTS	"At last M/T, inhibit interrupts"
"#end Only set ED ff and clear CB, XX ff"																																		
																																		
#if pla[76] : ALU CP																																		
#always																							CP						1					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																									V						Update P/V once on a high nibble phase
#end																																		Does not store the result!
																																		
#if pla[78] : ALU SUB																																		
#always																							SUB						1					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<													*		V						Update P/V and store result to A
#end																																		
																																		
#if pla[79] : ALU SBC																																		
#always																							SBC						1					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<													*		V						Update P/V and store result to A
#end																																		
																																		
#if pla[80] : ALU ADC																																		
#always																							ADC						0					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<													*		V						Update P/V and store result to A
#end																																		
																																		
#if pla[84] : ALU ADD																																		
#always																							ADD						0					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<													*		V						Update P/V and store result to A
#end																																		
																																		
#if pla[85] : ALU AND																																		
#always																							AND						0					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<													*		P						Update P/V and store result to A
#002H T2  AB:000 DB:A0  M1      MREQ RD	1	2	fMFetch																											0				AND clears CF
#end																																		
																																		
#if pla[86] : ALU OR																																		
#always																							OR						0					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<													*		P						Update P/V and store result to A
#002H T2  AB:000 DB:B0  M1      MREQ RD	1	2	fMFetch																											0				OR clears CF
#end																																		
																																		
#if pla[88] : ALU XOR																																		
#always																							XOR						0					
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<													*		P						Update P/V and store result to A
#002H T2  AB:000 DB:A8  M1      MREQ RD	1	2	fMFetch																											0				XOR clears CF
#end																																		
																																		
// State machine to compute (IX+d)																																		
#if ixy_d : Compute WZ=IX+d																																		
#001H T1 any M-cycle	?	1												d	<	R	alu	>s0		bus					*									"Reads ""d"" from the data latch"
#002H T2	?	2									L		>	d			alu	>s0			bus	L	ADD				*							
#003H T3	?	3										Z	<l	u			alu	<	res			H	ADC								W			
#004H T4	?	4									H		>				alu	>s0		0	bus	L	ADC				*				R		?SF_NEG	Stores result into WZ
#005H T5	?	5					WZ			W		W	<h				alu	<	res			H	ADC			*							"?SF_NEG, CLR_IX_IY"	and disables any further use of IX/IY
#end																																		
																																		
// Default instruction fetch (M1) state machine																																		
#if M1 :																																		
#001H T1  AB:000 DB:--  M1	1	1	fMFetch					PC	+	RL																								
#002H T2  AB:000 DB:CB  M1      MREQ RD	1	2	fMFetch				IR			W						R																	"CLR_IX_IY, CLR_CB_ED, OpcodeToIR, OverrideIR"	Prepares for the next execution cycle
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch					IR	+	RL																							Limit6	"Fetch opcode, evaluate flags"
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch																														EvalCond	
#end																																		
